yhat,yhat_lower,yhat_upper,year
2.5535960577494996,1.7650329454228793,3.323590301123736,1980
2.679785502642319,1.8904397534115793,3.44493300985863,1981
2.805630164931811,2.0487674788810275,3.600327212724348,1982
2.931474826632376,2.1895217083449667,3.686707025141671,1983
3.0573194860070956,2.3031119812755767,3.868200254422893,1984
3.1835089201156204,2.3712889024739785,3.971884217508732,1985
3.309353575755481,2.547566479226041,4.124716684983844,1986
3.435198232516421,2.7043766936944027,4.215959289612967,1987
3.561042889277362,2.7030491883319963,4.3084893595868,1988
3.6872323254515966,2.8442488751470694,4.4464675541027985,1989
3.8130769838927527,3.071207524553247,4.583291915294926,1990
3.9389216379274963,3.162569119155621,4.747603777171684,1991
4.064766288567231,3.3295259743749077,4.865695894865105,1992
4.190955719510955,3.38796912535165,4.961044721029529,1993
4.316800371893357,3.488533563275635,5.124849360879468,1994
4.442645021882505,3.6329682330752697,5.215835479156257,1995
4.568489673676317,3.771420149274945,5.354269052351167,1996
4.694679102450149,3.921547411530338,5.476677244626669,1997
4.8205237519504935,4.022260519517788,5.5936660744813755,1998
4.946368405665276,4.132563436806808,5.758066244733734,1999
5.07221306229058,4.2247395170379916,5.87719084292674,2000
5.198402498797049,4.445646144261022,5.904649286346925,2001
5.32424715095182,4.554932291544691,6.09252034124155,2002
5.450091807914439,4.6684764373073255,6.185824720016588,2003
5.575936460914416,4.738926117388354,6.4032643283897075,2004
5.7021258918063005,4.901303634864468,6.456735660878519,2005
5.8279705414343,4.977126477061047,6.696600102946842,2006
5.953815187386802,5.097520100175371,6.721595941823811,2007
6.07965983055107,5.295190559991259,6.869264459686889,2008
6.205849253559624,5.4380101270302,6.9512544178369895,2009
6.331693896723892,5.500185508632825,7.124166720197846,2010
6.457538539888161,5.675186017567386,7.263280202116954,2011
6.58338318305243,5.767819897542692,7.385469427103893,2012
6.709572606060985,5.960880018426242,7.549709951355937,2013
6.835417249225253,5.96843145153668,7.6090466105989725,2014
7.086761755709505,6.218780808491968,7.864414643775355,2015
7.21295117871806,6.458318951333305,7.99190263381953,2016
7.338795821882329,6.516712474006485,8.126714244432119,2017
7.464640465046596,6.729371977914503,8.282563402317676,2018
7.590485108210866,6.839221749505503,8.34835926213091,2019
7.71667453121942,6.971015675000388,8.539589339054627,2020
7.842519174383688,7.067679383707548,8.61633691299254,2021
7.968363817547957,7.21508570937616,8.737226314766954,2022
8.094208460712226,7.317513773915294,8.905945615717265,2023
