yhat,yhat_lower,yhat_upper,year
11.561982916719998,11.042013352232685,12.09892002041371,1961
11.509607522569869,11.024612859208062,12.058593288158354,1962
11.457232128419738,10.968738607097343,11.979828804550474,1963
11.404856734266318,10.870018980542863,11.936451331529147,1964
11.352337846103799,10.8398149472134,11.928466710009625,1965
11.299962452171231,10.756284035954105,11.823877044400616,1966
11.247587054765928,10.734120333252465,11.767125870976896,1967
11.195211657360625,10.68340090961298,11.713104571416752,1968
11.142692760910723,10.567073883182234,11.643692489110755,1969
11.090317359330776,10.523490984740851,11.623827974236356,1970
11.037941957750832,10.497737651894013,11.541466759765694,1971
10.985532740713442,10.43945615323338,11.511201200858268,1972
10.932979936780061,10.361459213203531,11.44600330810428,1973
10.880558909151333,10.380577519673546,11.399935770596327,1974
10.828130334768549,10.305047948135504,11.359097822355977,1975
10.775701760385767,10.218378588780348,11.286242510938354,1976
10.723129546765028,10.248253614138477,11.257711931117093,1977
10.670700973072213,10.154418091472648,11.208227697603512,1978
10.618272396185755,10.097129464266722,11.130329143209192,1979
10.565843817070975,10.01540059555697,11.081422800528204,1980
10.513271598013416,9.95369753079626,11.033344237817264,1981
10.460843016294694,9.922051613581987,10.987861285930874,1982
10.408414434575972,9.910346387746792,10.924624977440411,1983
10.355985854218744,9.865992976146133,10.9012809589885,1984
10.303413633915333,9.767649165069498,10.790671769815646,1985
10.25098505297063,9.760355365045307,10.7584208654469,1986
10.19855647010315,9.66830239069636,10.74118755778051,1987
10.14612788723567,9.599947863371458,10.651364497607267,1988
10.09355566511452,9.54643456979885,10.640945943745876,1989
10.041127082944524,9.511375282842957,10.56992297615405,1990
9.988633882866758,9.45692592106595,10.509821647145086,1991
9.936063282102722,9.432104705592046,10.445562426628735,1992
9.883348652295501,9.356227524858724,10.416540408984211,1993
9.830657805723565,9.330510791101801,10.368374373566354,1994
9.777966959151629,9.282826549524518,10.319967985248935,1995
9.725114379107444,9.191414505816365,10.274035573606737,1996
9.67204287557994,9.176919389074072,10.22830245405806,1997
9.619116376160436,9.107699021523349,10.123035736322569,1998
9.566159176551052,9.04920821414324,10.105037353800354,1999
9.513201976941668,9.005231410373908,10.04690646141169,2000
9.459976425023006,8.903233789165625,9.96401416018956,2001
9.406711149223177,8.875583035104164,9.906121554228715,2002
9.353445873423349,8.797819530294447,9.861359716881735,2003
9.185625282757753,8.641734380970611,9.673309191709505,2004
9.017344909651975,8.489611575482519,9.48775670781915,2005
8.849524318986377,8.36678590217273,9.401955704083877,2006
8.68170372832078,8.186479143409533,9.232811612464339,2007
8.513883137655183,8.000017241842759,9.038969139886046,2008
8.345602764549405,7.824891962339207,8.863305387722674,2009
8.177782173883807,7.663547247423015,8.684426881825562,2010
8.00996158321821,7.464886328708337,8.561083339111143,2011
7.842140992552613,7.2894404622201145,8.378580312529943,2012
7.6738606194468355,7.163705532977814,8.212403490347349,2013
7.506040028781238,6.991573430385504,8.003360954321444,2014
7.170858629890224,6.636536422950911,7.695695063565621,2015
7.002578256784446,6.508698705504514,7.55455483859498,2016
6.83475766611885,6.303213613295202,7.348902927339017,2017
6.6669370754532515,6.132515640112167,7.195494750062284,2018
6.499116484787654,6.024103356620273,7.0589009167150785,2019
6.330836111681878,5.786761236273098,6.887330310606285,2020
6.16301552101628,5.6310583438871555,6.701025763384055,2021
5.995194930350682,5.49404586630743,6.525587636493393,2022
5.8273743396850834,5.300786176531519,6.363606450227706,2023
