yhat,yhat_lower,yhat_upper,year
1.5335943919562998,1.1897098428711423,1.908944105359581,1961
1.571527392701759,1.219871815376917,1.9183270404909434,1962
1.6094603934472185,1.242629753770616,1.9715898042159845,1963
1.647393394192226,1.2736860080418058,2.0232719051650174,1964
1.6854303209698136,1.3461004008525872,2.0340086039286955,1965
1.7233633217179538,1.3506384279116377,2.071609357622033,1966
1.7612963224619158,1.4035781017162625,2.0936179884326296,1967
1.7992293232058774,1.4616343234515092,2.1386392135827603,1968
1.8372662499827799,1.5104574142809262,2.215431990158777,1969
1.8751992507270834,1.5311485549141763,2.210991205484923,1970
1.913132251471387,1.5671965719850172,2.2889208653353523,1971
1.9510652522182608,1.580072636609149,2.2887175726619082,1972
1.9891021789918824,1.6237843313032165,2.3352958229869314,1973
2.0270351797360675,1.6878871992441258,2.373238128113117,1974
2.064968180476769,1.7336721977825114,2.443298232628354,1975
2.102901181217471,1.7304150041453292,2.4577092285033317,1976
2.140938107992259,1.791873381673686,2.5126510507117152,1977
2.178871113124408,1.818828962958394,2.52804726672248,1978
2.2168041182565577,1.8473109233362413,2.570524978959693,1979
2.2547387599986353,1.8828934725528113,2.6084264675457876,1980
2.292777332266034,1.9520856678932066,2.6453029210625942,1981
2.330714494286635,1.9674717976825933,2.6752057853562285,1982
2.3686852624861063,2.030143381952367,2.750912855448215,1983
2.4066560306855767,2.0541790537377604,2.7541048501457612,1984
2.444796707779046,2.1129970726069827,2.7842033952620935,1985
2.48283317537226,2.139901862210469,2.838715723659914,1986
2.5450742935210795,2.192230889292552,2.890264696548648,1987
2.607366329296324,2.2483823808533283,2.962802351199593,1988
2.6698290281832815,2.298727708708184,3.018276122596722,1989
2.7321642229066403,2.3841949282250594,3.084660631779976,1990
2.7944994176299986,2.442454055539858,3.173436482779466,1991
2.8568380909132878,2.4883390608912244,3.2172757612010177,1992
2.919353366196001,2.553491895910355,3.28805392514547,1993
2.9816978347156464,2.6267372670363915,3.3544413391657137,1994
3.0440430517235226,2.7153013086545617,3.42553046522336,1995
3.1063882687683937,2.771635829831231,3.4983839962020364,1996
3.1689042946270867,2.831886945605433,3.5200454045826883,1997
3.231249511674881,2.884841363635186,3.554307918664711,1998
3.293594728722676,2.9417570214335576,3.6429932737679716,1999
3.355939945772695,3.0249811682036865,3.7278147106220954,2000
3.4184559716339447,3.0713814595075877,3.767437478671673,2001
3.480801188681366,3.1562848507793864,3.8523834306887723,2002
3.5431464057321223,3.1902686699361054,3.8820800782902407,2003
3.605491622782879,3.252458045483601,3.938995858692276,2004
3.668007648647473,3.3199821734615913,4.019816583352958,2005
3.730352865698229,3.374373755642253,4.086008461901916,2006
3.792698082748985,3.437510295185998,4.167742233747533,2007
3.855043299799742,3.5083300421473407,4.22840676025988,2008
3.917559325664336,3.5593188811416274,4.280570088159482,2009
3.9799045427150928,3.623338217362944,4.325744025523227,2010
4.042249759765848,3.676507823819722,4.40534324150028,2011
4.104594976816605,3.7461374313271163,4.4386840597781525,2012
4.167111002681199,3.7999701955886733,4.522722896309346,2013
4.291630627968874,3.9498547016640315,4.640621295997751,2014
4.35397584501963,4.014054935452391,4.695344963436004,2015
4.416491870884224,4.034364830328432,4.797098649490673,2016
4.478837087934981,4.124292155577396,4.853174567678406,2017
4.541182304985737,4.197738101786216,4.881367078571324,2018
4.603527522036493,4.222324049526286,4.964511648247969,2019
4.666043547901087,4.32960506383037,5.028865360655807,2020
4.728388764951844,4.364670181271891,5.093233810134675,2021
4.7907339820026005,4.403340458803122,5.145916177558412,2022
