iso3,year,protected_pct
BEL,2014,24.2
BEN,2014,23.5
BFA,2014,15.8
BGD,2014,4.9
BGR,2014,31.5
BHR,2014,7.3
BHS,2014,0.5
BIH,2014,1.1
BLR,2014,8.6
BLZ,2014,20.5
BMU,2014,0.0
BOL,2014,25.3
BRA,2014,20.4
BRB,2014,0.0
BRN,2014,9.0
BTN,2014,48.0
BWA,2014,29.1
CAF,2014,18.1
CAN,2014,6.3
CEB,2014,25.4245551819273
CHE,2014,9.7
CHL,2014,6.8
CHN,2014,15.9
CIV,2014,14.9
CMR,2014,10.8
COD,2014,12.6
COG,2014,33.6
COL,2014,18.1
COM,2014,0.1
CPV,2014,0.0
CRI,2014,3.0
CSS,2014,3.37745957973877
CUB,2014,4.9
CUW,2014,0.1
CYM,2014,0.1
CYP,2014,1.7
CZE,2014,21.8
DEU,2014,38.5
DJI,2014,1.2
DMA,2014,0.6
DNK,2014,20.5
DOM,2014,11.2
DZA,2014,7.1
EAP,2014,7.40475426669036
EAR,2014,8.47154590978657
EAS,2014,14.7868134988285
ECA,2014,3.73459698071191
ECS,2014,9.8264559780073
ECU,2014,15.4
EGY,2014,11.6
EMU,2014,13.1988526586394
ERI,2014,3.0
ESP,2014,10.1
EST,2014,19.4
ETH,2014,18.5
EUU,2014,14.5857475084028
FCS,2014,8.14722195747132
FIN,2014,14.2
FJI,2014,1.0
FRA,2014,23.4
FRO,2014,0.0
FSM,2014,0.0
GAB,2014,12.1
GBR,2014,19.7
GEO,2014,6.4
GHA,2014,7.8
GIB,2014,13.2
GIN,2014,21.4
GMB,2014,1.4
GNB,2014,10.3
GNQ,2014,2.1
GRC,2014,8.6
GRD,2014,0.0
GRL,2014,22.4
GTM,2014,15.7
GUM,2014,0.1
GUY,2014,5.3
HIC,2014,13.838177397649
HKG,2014,42.1
HND,2014,12.2
HPC,2014,12.6416939528475
HRV,2014,23.7
HTI,2014,0.0
HUN,2014,22.6
IBD,2014,10.3647135191371
IBT,2014,9.66922034673394
IDA,2014,8.03586512704298
IDB,2014,6.69815514069441
IDN,2014,5.1
IDX,2014,8.37265027984133
IND,2014,3.5
IRL,2014,3.4
IRN,2014,6.5
IRQ,2014,0.9
ISL,2014,2.3
ISR,2014,8.6
ITA,2014,11.3
JAM,2014,1.4
JOR,2014,1.7
JPN,2014,2.1
KAZ,2014,3.2
KEN,2014,10.3
KGZ,2014,6.5
KHM,2014,20.6
KIR,2014,11.8
KNA,2014,0.3
KOR,2014,2.6
KWT,2014,11.2
LAC,2014,14.6667880699935
LAO,2014,16.7
LBN,2014,0.9
LBR,2014,0.8
LBY,2014,0.3
LCA,2014,0.7
LCN,2014,13.7187650100856
LDC,2014,10.0151704690934
LIC,2014,9.51467884699942
LIE,2014,42.2
LKA,2014,2.6
LMC,2014,8.71050943797671
LMY,2014,9.92643422136114
LSO,2014,0.3
LTE,2014,11.8347685604669
LTU,2014,16.4
LUX,2014,34.9
LVA,2014,17.8
MAF,2014,3.2
MAR,2014,59.7
MCO,2014,0.3
MDA,2014,4.2
MDG,2014,1.9
MDV,2014,0.0
MEA,2014,11.2166413377746
MEX,2014,6.3
MHL,2014,0.4
MIC,2014,9.98820645691707
MKD,2014,9.7
MLI,2014,8.3
MLT,2014,0.5
MMR,2014,4.1
MNA,2014,8.53015254981413
MNE,2014,2.6
MNG,2014,17.4
MNP,2014,100.0
MOZ,2014,10.9
MRT,2014,1.1
MUS,2014,0.0
MWI,2014,16.9
MYS,2014,8.9
NAC,2014,9.23157518942986
NAM,2014,23.2
NCL,2014,95.6
NER,2014,17.3
NGA,2014,11.6
NIC,2014,15.5
NLD,2014,18.0
NOR,2014,4.8
NPL,2014,23.5
NZL,2014,30.5
OED,2014,13.8196629119276
OMN,2014,1.0
OSS,2014,1.09565770433852
PAK,2014,9.8
PAN,2014,5.2
PER,2014,19.4
PHL,2014,3.1
PLW,2014,0.3
PNG,2014,0.7
POL,2014,29.3
PRE,2014,11.1677297968769
PRI,2014,2.0
PRK,2014,1.3
PRT,2014,7.4
PRY,2014,6.5
PSS,2014,3.13539235264559
PST,2014,14.9170313516695
PYF,2014,0.0
QAT,2014,0.8
ROU,2014,22.5
RUS,2014,7.6
RWA,2014,9.6
SAS,2014,4.137752785483
SAU,2014,28.3
SDN,2014,1.9
SEN,2014,14.5
SGP,2014,3.2
SLB,2014,0.2
SLE,2014,3.3
SLV,2014,2.1
SRB,2014,6.7
SSA,2014,11.9377209155887
SSD,2014,15.5
SSF,2014,11.4759566452396
SST,2014,2.59884508157705
STP,2014,0.0
SUR,2014,8.5
SVK,2014,36.8
SVN,2014,54.1
SWE,2014,13.0
SWZ,2014,4.0
SYC,2014,0.1
SYR,2014,0.7
TCA,2014,0.4
TCD,2014,18.6
TEA,2014,7.33826030312384
TEC,2014,7.3138704594002
TGO,2014,21.8
THA,2014,12.5
TJK,2014,22.3
TKM,2014,3.2
TLA,2014,14.2548269935034
TLS,2014,3.3
TMN,2014,8.53015254981412
TON,2014,1.5
TSA,2014,4.137752785483
TSS,2014,11.4759566452396
TTO,2014,2.1
TUN,2014,3.7
TUR,2014,0.2
TUV,2014,0.0
TZA,2014,26.0
UGA,2014,16.1
UKR,2014,3.9
UMC,2014,10.6603431607984
URY,2014,1.7
USA,2014,12.0
UZB,2014,3.4
VCT,2014,0.5
VEN,2014,36.9
VGB,2014,0.1
VIR,2014,1.0
VNM,2014,2.6
VUT,2014,0.1
WLD,2014,11.9200226984187
WSM,2014,0.2
YEM,2014,0.6
ZAF,2014,10.6
ZMB,2014,38.0
ZWE,2014,26.7
ABW,2015,0.0
AFE,2015,11.5916271503831
AFG,2015,0.4
AFW,2015,11.6493198499422
AGO,2015,5.0
ALB,2015,2.2
AND,2015,21.1
ARB,2015,7.8066913583501
ARE,2015,15.9
ARG,2015,7.4
ARM,2015,23.1
ASM,2015,8.7
ATG,2015,0.2
AUS,2015,28.7
AUT,2015,28.4
AZE,2015,5.5
BDI,2015,7.0
BEL,2015,24.2
BEN,2015,22.9
BFA,2015,15.8
BGD,2015,4.9
BGR,2015,32.8
BHR,2015,1.7
BHS,2015,1.2
BIH,2015,1.5
BLR,2015,8.8
BLZ,2015,20.5
BMU,2015,0.0
BOL,2015,30.9
BRA,2015,20.4
BRB,2015,0.0
BRN,2015,9.0
BTN,2015,48.0
BWA,2015,29.1
CAF,2015,18.1
CAN,2015,6.2
CEB,2015,25.6046487946093
CHE,2015,9.7
CHL,2015,6.8
CHN,2015,15.9
CIV,2015,14.9
CMR,2015,10.6
COD,2015,12.6
COG,2015,33.6
COL,2015,9.3
COM,2015,0.1
CPV,2015,0.0
CRI,2015,3.0
CSS,2015,3.63295814337735
CUB,2015,4.9
CUW,2015,0.3
CYM,2015,0.1
CYP,2015,1.7
CZE,2015,21.7
DEU,2015,38.5
DJI,2015,1.2
DMA,2015,0.6
DNK,2015,20.5
DOM,2015,11.2
DZA,2015,7.1
EAP,2015,7.40691899768002
EAR,2015,8.58636072253037
EAS,2015,14.0417227344091
ECA,2015,3.74621070335686
ECS,2015,9.90312957921042
ECU,2015,14.4
EGY,2015,11.6
EMU,2015,14.0138054782512
ERI,2015,3.0
ESP,2015,14.1
EST,2015,19.4
ETH,2015,18.5
EUU,2015,15.2851441325046
FCS,2015,8.18918031605445
FIN,2015,14.2
FJI,2015,1.0
FRA,2015,23.2
FRO,2015,0.0
FSM,2015,0.0
GAB,2015,12.1
GBR,2015,16.6
GEO,2015,6.4
GHA,2015,7.8
GIB,2015,13.2
GIN,2015,21.4
GMB,2015,1.4
GNB,2015,11.5
GNQ,2015,2.1
GRC,2015,8.6
GRD,2015,0.2
GRL,2015,22.4
GTM,2015,15.7
GUM,2015,0.1
GUY,2015,5.3
HIC,2015,14.6080629664979
HKG,2015,41.9
HND,2015,12.2
HPC,2015,12.9676486766141
HRV,2015,23.7
HTI,2015,0.0
HUN,2015,22.6
IBD,2015,10.0586463618196
IBT,2015,9.46594140479501
IDA,2015,8.07398275774229
IDB,2015,6.68936325266229
IDN,2015,5.1
IDX,2015,8.422577966229
IMN,2015,0.3
IND,2015,3.5
IRL,2015,4.0
IRN,2015,6.5
IRQ,2015,0.9
ISL,2015,2.3
ISR,2015,8.6
ITA,2015,11.3
JAM,2015,1.4
JOR,2015,1.7
JPN,2015,2.1
KAZ,2015,3.2
KEN,2015,10.3
KGZ,2015,6.5
KHM,2015,20.6
KIR,2015,11.8
KNA,2015,0.3
KOR,2015,2.6
KWT,2015,11.2
LAC,2015,14.3066087016363
LAO,2015,16.7
LBN,2015,0.9
LBR,2015,0.8
LBY,2015,0.3
LCA,2015,0.9
LCN,2015,13.4458716097233
LDC,2015,10.0695222959938
LIC,2015,9.61749749558428
LIE,2015,42.2
LKA,2015,3.4
LMC,2015,8.17328527674351
LMY,2015,9.66984670929758
LSO,2015,0.3
LTE,2015,11.2889690744416
LTU,2015,16.9
LUX,2015,32.5
LVA,2015,17.8
MAF,2015,3.2
MAR,2015,18.5
MCO,2015,0.3
MDA,2015,4.2
MDG,2015,1.9
MDV,2015,0.0
MEA,2015,9.1355668647222
MEX,2015,6.3
MHL,2015,0.3
MIC,2015,9.67770022660912
MKD,2015,9.7
MLI,2015,8.3
MLT,2015,0.5
MMR,2015,4.1
MNA,2015,5.77967133827912
MNE,2015,2.6
MNG,2015,17.4
MNP,2015,33.2
MOZ,2015,12.1
MRT,2015,1.1
MUS,2015,0.0
MWI,2015,16.9
MYS,2015,8.9
NAC,2015,13.4700036840625
NAM,2015,23.2
NCL,2015,95.6
NER,2015,17.3
NGA,2015,11.6
NIC,2015,15.5
NLD,2015,17.9
NOR,2015,4.8
NPL,2015,23.4
NZL,2015,30.5
OED,2015,15.3476190739734
OMN,2015,1.0
OSS,2015,1.0922913273006
PAK,2015,9.8
PAN,2015,5.2
PER,2015,19.4
PHL,2015,3.1
PLW,2015,0.3
PNG,2015,0.7
POL,2015,29.3
PRE,2015,11.2334237952618
PRI,2015,2.0
PRK,2015,1.3
PRT,2015,7.5
PRY,2015,6.5
PSS,2015,3.12128167258152
PST,2015,16.9645003530201
PYF,2015,0.0
QAT,2015,0.8
ROU,2015,22.6
RUS,2015,7.6
RWA,2015,8.8
SAS,2015,4.18972975709542
SAU,2015,28.3
SDN,2015,1.9
SEN,2015,14.5
SGP,2015,2.5
SLB,2015,0.2
SLE,2015,3.3
SLV,2015,2.2
SRB,2015,6.7
SSA,2015,12.0791139854691
SSD,2015,15.5
SSF,2015,11.6118342727294
SST,2015,2.60871347426224
STP,2015,0.2
SUR,2015,8.5
SVK,2015,36.8
SVN,2015,54.1
SWE,2015,13.1
SWZ,2015,4.0
SYC,2015,0.1
SYR,2015,0.7
TCA,2015,0.4
TCD,2015,18.6
TEA,2015,7.34040645512126
TEC,2015,7.32303670811089
TGO,2015,21.8
THA,2015,12.5
TJK,2015,22.3
TKM,2015,3.2
TLA,2015,13.9582903741405
TLS,2015,3.3
TMN,2015,5.77967133827911
TON,2015,1.5
TSA,2015,4.18972975709542
TSS,2015,11.6118342727294
