iso3,year,rent_pct_gdp
AFE,1970,5.15345649586112
AFG,1970,0.87755385017819
AFW,1970,3.0298531638716
AND,1970,0.0
ARB,1970,13.0944328400447
ARG,1970,0.301180697327039
AUS,1970,1.82573261827896
AUT,1970,0.400546341519539
BDI,1970,6.75179243610598
BEL,1970,0.166720805852942
BEN,1970,6.70734124614113
BFA,1970,6.82211867501044
BGD,1970,0.326560893035859
BHS,1970,0.906985201999454
BLZ,1970,0.993307334043983
BMU,1970,0.0
BOL,1970,1.99545883045688
BRA,1970,1.61330030982628
BRN,1970,3.1223848976925
BWA,1970,3.1539871567487
CAF,1970,8.23424630585922
CAN,1970,1.97883548476178
CHL,1970,10.1337971525781
CHN,1970,0.840416943708215
CIV,1970,5.88211960748263
CMR,1970,3.9056080686076
COD,1970,11.5046853227158
COG,1970,6.64483208044262
COL,1970,0.971130535161595
CRI,1970,4.1381093479382
CSS,1970,9.40203750060468
CUB,1970,0.871413245874392
DEU,1970,0.243896617794209
DNK,1970,0.0681236895703212
DOM,1970,0.728567422733497
DZA,1970,7.89139762018415
EAP,1970,1.82443907184346
EAR,1970,2.76735850337006
EAS,1970,0.880566519822175
ECA,1970,0.691508496870238
ECS,1970,0.239865970403647
ECU,1970,0.603234396539406
EGY,1970,1.717488987232
EMU,1970,0.224205208837496
ESP,1970,0.200852856603392
EUU,1970,0.25238693542215
FCS,1970,2.67043137470731
FIN,1970,1.79143661882966
FJI,1970,0.341381423379229
FRA,1970,0.165243990664632
GAB,1970,11.9846295951762
GBR,1970,0.0912323758377636
GHA,1970,2.86308221828147
GMB,1970,2.30362071744818
GNB,1970,6.3917374281718
GNQ,1970,14.6066044239259
GRC,1970,0.210334451463134
GRL,1970,0.0
GTM,1970,1.17777388780127
GUY,1970,20.7080226592579
HIC,1970,0.702919087891253
HKG,1970,0.0095055987796435
HND,1970,4.44328536721054
HPC,1970,7.91860032629413
HTI,1970,4.94082793905462
IBD,1970,2.25854029949419
IBT,1970,2.56017919801892
IDA,1970,3.76073206623166
