yhat,yhat_lower,yhat_upper,year
4.0140595916979995,3.9525955061289766,4.0822357318775495,1979
3.9079552500014247,3.844148486719952,3.974708126830693,1980
3.8015602114697593,3.738041243791103,3.86972094278533,1981
3.6954558697478954,3.630176582257543,3.7603949868141444,1982
3.5893515280236405,3.5267045335707445,3.6533811040431035,1983
3.4832471862912584,3.418609819430566,3.5467512548146503,1984
3.376852147715853,3.3133739235720787,3.4399696099297152,1985
3.2707478059718893,3.2065175620177504,3.3339457574711115,1986
3.164643464227925,3.1013778770546323,3.2259727140774803,1987
3.058539152635796,2.9901502895338457,3.1264108839988296,1988
2.9522004385130955,2.88828598716756,3.0168786996945167,1989
2.9647889690801166,2.8985869250999348,3.029457074543689,1990
2.977475777815418,2.9129298374496613,3.041599672785985,1991
2.9902226914357612,2.9226858529746615,3.059058831900704,1992
3.003004528116592,2.9343303805089396,3.065758943627314,1993
3.015751441755904,2.949684124966955,3.0783126516271646,1994
3.0284983553873577,2.965494977738438,3.094269702256131,1995
3.0412452391014195,2.9749422136311474,3.105857463203269,1996
3.0540033540104092,2.9885611122390285,3.1212051653441453,1997
3.066645814559929,3.0008853203031176,3.1318335414923957,1998
3.0730593048931074,3.0125107789833363,3.1399187096184074,1999
3.0794727952262853,3.0198939986607787,3.1454535853770746,2000
3.0499782077455913,2.9788528854108525,3.1160460981961298,2001
3.020512244712948,2.9589632376967203,3.0873346328260745,2002
2.99104625039644,2.9236630902131315,3.0550054189873808,2003
2.9615802560203717,2.9012334408977036,3.0292251863549153,2004
2.9320335328084597,2.86027778787338,2.993529198365526,2005
2.9025675383342744,2.8387368441467005,2.967310112398618,2006
2.873101543846634,2.8126126197898706,2.9419581526711687,2007
2.8436355493589938,2.7841050252123365,2.908065428445736,2008
2.814088826119333,2.7465751262536626,2.8799186768020646,2009
2.7846228316316926,2.7201149477805164,2.847727567530491,2010
2.755156837144052,2.6913188551915104,2.82600177155585,2011
2.7256908426564115,2.660943696556966,2.788800319946956,2012
2.69614411941675,2.6314289998186,2.7596990222009654,2013
2.66667812492911,2.6043234891784084,2.732480335257107,2014
2.6078268647058502,2.5385352921381714,2.6778605679000598,2015
2.5782801414661884,2.507398086056724,2.6460955074492696,2016
2.5488141469785486,2.468271152562629,2.623296291044324,2017
2.519348152490908,2.43050648211397,2.608358157740148,2018
2.4898821580032675,2.3904688990833916,2.59624469426425,2019
2.4603354347636057,2.3391494308793512,2.5750869929760674,2020
2.430869440275966,2.287799024998831,2.560144180232835,2021
2.401403445788325,2.2388806107959556,2.56079620054487,2022
2.3719374513006852,2.1816696594137457,2.5567584137795114,2023
