yhat,yhat_lower,yhat_upper,year
0.084662895,0.08466289489712561,0.08466289510687305,1961
0.084662895,0.08466289489780414,0.08466289511389333,1962
0.084662895,0.08466289489255882,0.08466289510972051,1963
0.084662895,0.0846628948941974,0.08466289511321232,1964
0.084662895,0.0846628948868018,0.08466289510801381,1965
0.084662895,0.08466289488857309,0.0846628951050988,1966
0.084662895,0.08466289488839152,0.08466289511327406,1967
0.084662895,0.08466289488915431,0.08466289510713494,1968
0.084662895,0.0846628948861745,0.08466289511095174,1969
0.084662895,0.08466289489404544,0.08466289511325087,1970
0.084662895,0.08466289490329895,0.08466289510596897,1971
0.084662895,0.08466289488794226,0.08466289511397315,1972
0.084662895,0.08466289489772402,0.08466289511420606,1973
0.084662895,0.08466289488948496,0.0846628951056549,1974
0.084662895,0.08466289489540518,0.08466289510643231,1975
0.084662895,0.08466289488440522,0.08466289511679827,1976
0.084662895,0.08466289488390623,0.08466289510962424,1977
0.084662895,0.08466289488976993,0.08466289511596911,1978
0.084662895,0.08466289489992429,0.08466289510540609,1979
0.084662895,0.0846628948951115,0.08466289510536532,1980
0.084662895,0.0846628948876474,0.08466289510274419,1981
0.084662895,0.08466289490271538,0.0846628951124411,1982
0.084662895,0.08466289489769555,0.08466289509972758,1983
0.084662895,0.08466289488698196,0.084662895099437,1984
0.084662895,0.08466289489507539,0.08466289510220283,1985
0.084662895,0.08466289489174152,0.08466289511156051,1986
0.084662895,0.08466289489501537,0.08466289511114254,1987
0.084662895,0.0846628948886283,0.08466289511461522,1988
0.084662895,0.08466289489345084,0.08466289510689376,1989
0.084662895,0.08466289489955245,0.08466289510303426,1990
0.084662895,0.08466289489255109,0.0846628951069615,1991
0.084662895,0.08466289488988853,0.08466289510512752,1992
0.084662895,0.08466289488722781,0.0846628951108874,1993
0.084662895,0.08466289488425234,0.08466289510796103,1994
0.084662895,0.08466289489639459,0.08466289510829918,1995
0.084662895,0.08466289489615102,0.08466289511602923,1996
0.084662895,0.08466289489417221,0.08466289511049249,1997
0.084662895,0.08466289488383198,0.08466289510632001,1998
0.084662895,0.08466289488789075,0.08466289510424702,1999
0.084662895,0.08466289488875788,0.0846628951172647,2000
0.084662895,0.08466289489523773,0.08466289511103212,2001
0.084662895,0.08466289489728315,0.08466289511263449,2002
0.084662895,0.08466289489416562,0.08466289510416343,2003
0.084662895,0.08466289489188214,0.08466289509896842,2004
0.084662895,0.08466289488716765,0.08466289510259582,2005
0.084662895,0.08466289488072082,0.08466289510703476,2006
0.084662895,0.08466289489905651,0.08466289510966739,2007
0.084662895,0.08466289490162839,0.08466289510989783,2008
0.084662895,0.08466289489682371,0.08466289511124137,2009
0.084662895,0.08466289489215384,0.0846628951135699,2010
0.084662895,0.08466289489124675,0.08466289510864898,2011
0.084662895,0.0846628948893604,0.08466289511937158,2012
0.084662895,0.08466289488786188,0.08466289510904154,2013
0.084662895,0.08466289489274162,0.08466289511445904,2014
0.084662895,0.08466289488430764,0.08466289511525492,2015
0.084662895,0.08466289487119344,0.08466289511818983,2016
0.084662895,0.08466289486638169,0.08466289513491698,2017
0.084662895,0.08466289484922661,0.08466289516397478,2018
0.084662895,0.08466289480640293,0.08466289520001034,2019
0.084662895,0.08466289477917431,0.08466289522514076,2020
0.084662895,0.08466289472964104,0.084662895274799,2021
0.084662895,0.08466289469917186,0.08466289531325732,2022
0.084662895,0.08466289465546667,0.08466289537000914,2023
