"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"France","FRA","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5","23.4","23.2","26.0807183526812","27.8","33.2074996806332","35","36.2","36.4","36.6","36.6","36.8",
"Faroe Islands","FRO","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.0234924730862025","0","0.0233716786944293","0","0","0","0","0","0",
"Micronesia, Fed. Sts.","FSM","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.0187205363154838","0","0.0157814365656374","0","0","0","0","0","0",
"Gabon","GAB","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12.1","12.1","12.0754505026703","25.1","25.1293640958956","25.1","25.1","25.1","25.1","25.1","24.5",
"United Kingdom","GBR","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3","19.7","16.6","22.2620645199521","28.9","28.8252338951318","29","40.3","39.9","39.9","39.9","42.1",
"Georgia","GEO","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","6.4","6.4","6.44104820465337","6.4","6.44294931342771","7.2","7.2","7.2","8.5","8.5","17.4",
"Ghana","GHA","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8","7.8","7.8","7.79423860912041","7.8","7.79471942096576","7.8","7.7","7.7","7.7","7.7","7.7",
"Gibraltar","GIB","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","13.2","13.2","13.1275909719024","13.2","13.1593352299108","13.2","0.1","0.1","0","0","0.5",
"Guinea","GIN","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4","21.4","21.4","21.3673260076547","24.8","24.7992849458716","24.8","24.9","26.1","26.1","26.1","26.2",
"Gambia, The","GMB","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.4","1.4","1.36702543622438","1.4","1.36615407157188","1.4","2.9","2.9","2.9","2.9","2.9",
"Guinea-Bissau","GNB","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3","10.3","11.5","11.6202197089003","11.6","11.6199334552951","11.6","13.2","13.2","13.4","13.4","13.2",
"Equatorial Guinea","GNQ","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","2.1","2.1","1.76532601049951","1.8","1.76531204067703","1.8","1.8","1.8","1.8","1.8","1.8",
"Greece","GRC","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.6","8.6","8.6","8.56334528515359","8.6","11.0283505287585","11","11","11","11","11","11.2",
"Grenada","GRD","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.2","0.172574854343071","0.2","0.222068705409949","0.2","0.2","0.2","0.2","0.2","0.2",
"Greenland","GRL","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.4","22.4","22.4","22.3599788850636","22.4","22.3782828633614","22.4","22.4","22.6","22.4","22.4","22.6",
"Guatemala","GTM","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.7","15.7","15.7","15.7067397650122","15.7","10.121112637184","10.1","10.1","10.1","10.1","10.1","10.2",
"Guam","GUM","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.1","0.0694251938612372","0.1","0.071134098908744","0.1","0","0","0","0","0",
"Guyana","GUY","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3","5.3","5.3","5.30607683828947","5.3","5.30607734786502","5.2","5.2","5.2","5.2","5.2","5.1",
"High income","HIC","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5343708518418","13.838177397649","14.6080629664979","","16.6742221189188","","18.1188107791456","18.5257272484461","18.0406483323611","18.1252784780851","18.2076700770028","18.6114346326521",
"Hong Kong SAR, China","HKG","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.1","42.1","41.9","41.9047619047619","41.9","48.9255047485728","41.9","41.9","41.9","41.9","41.9","42",
"Honduras","HND","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","12.2","12.2","12.4289336910491","12.4","10.8637009278591","10.9","11","11","11","11","11.2",
"Heavily indebted poor countries (HIPC)","HPC","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4536961028267","12.6416939528475","12.9676486766141","","13.7001961112831","","13.0187178967466","13.2881770340125","13.3550706882058","13.3656569377071","13.4224680000316","13.5855535502813",
"Croatia","HRV","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","23.7","23.7","23.5064099082696","23.6","23.5817265852557","23.6","23.9","23.9","23.9","23.9","24.1",
"Haiti","HTI","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.270169622711773","0.3","0.353092294045252","2.5","2.5","2.8","2.8","2.8","3",
"Hungary","HUN","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2","22.6","22.6","22.6019271546287","22.6","22.5975581595624","22.6","22.6","22.6","22.6","22.6","22.6",
"IBRD only","IBD","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0747919143177","10.3647135191371","10.0586463618196","","11.4514504717845","","13.5371526228102","14.1311835246992","14.3227017202164","14.5767836175635","14.6538058776345","14.8811473271582",
"IDA & IBRD total","IBT","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.52493468035078","9.66922034673394","9.46594140479501","","10.5509167408611","","11.9172261010426","12.39640363368","12.54285133215","12.7214107656202","12.8014005774942","13.0297956174014",
"IDA total","IDA","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.20928919883065","8.03586512704298","8.07398275774229","","8.43602686375538","","8.21827275380958","8.43519317235829","8.4679580061201","8.47361190433814","8.56039580245559","8.79120299365975",
"IDA blend","IDB","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.83968095184","6.69815514069441","6.68936325266229","","6.83900979778335","","6.87157863642375","6.84842247667093","6.8532451471602","6.83931561691166","7.04832437312368","7.76127919442945",
"Indonesia","IDN","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","5.1","5.1","5.06335901930066","5.1","5.26823344567267","5.3","5.3","5.3","5.3","5.3","5.2",
"IDA only","IDX","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.56227082296908","8.37265027984133","8.422577966229","","8.83809580401431","","8.54564089811053","8.8209215804445","8.86047888030548","8.87089331809474","8.92796555083451","9.04156737750358",
"Isle of Man","IMN","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","4.29405702507729","3.7","4.22910719476977","5.5","5.5","5.5","5.5","5.8","4.6",
"India","IND","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","3.5","3.5","3.47930598498439","3.5","3.47930689489956","3.5","3.5","4.4","4.4","4.4","4.5",
"Not classified","INX","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","3.4","4","4.04293371670989","4","4.04223100626643","4","4","4","4","4","4.1",
"Iran, Islamic Rep.","IRN","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","6.5","6.5","7.66655342395126","7.7","7.6665206734854","7.7","7.7","7.7","7.7","7.7","7.7",
"Iraq","IRQ","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.9","0.9","1.54077890873295","1.5","1.53132758698647","1.5","1.5","1.5","1.5","1.5","1.5",
"Iceland","ISL","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","2.3","2.3","2.42174669591443","2.5","2.50646684968118","2.7","2.8","2.8","2.9","2.9","2.9",
"Israel","ISR","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.6","8.6","8.6","8.58173027677053","8.6","8.58271221861595","10.5","10.5","10.5","10.5","10.5","12.2",
"Italy","ITA","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2","11.3","11.3","13.3464442429884","13.3","13.3653061047713","13.3","14","14.5","14.5","14.5","14.6",
"Jamaica","JAM","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.4","1.4","1.40556650931052","1.4","1.40564285524534","1.4","1.4","1.4","1.6","1.6","1.6",
"Jordan","JOR","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","1.7","1.7","1.76535777731989","1.8","1.80598714296253","3.1","4.5","4.5","4.5","4.5","5.4",
"Japan","JPN","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","2.1","2.1","2.09183621347664","10","10.0262887092871","10","10","15.2","15.2","15.2","15.1",
"Kazakhstan","KAZ","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","3.2","3.2","3.18942507887438","3.2","3.21716402649566","3.2","11.7","11.7","11.7","11.7","11.9",
"Kenya","KEN","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1","10.3","10.3","10.5050213796236","10.5","10.5050828924669","10.5","10.5","10.5","10.3","10.3","11.8",
"Kyrgyz Republic","KGZ","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","6.5","6.5","6.51440059612817","6.7","6.7026929831278","6.7","6.7","6.7","6.7","6.7","6.8",
"Cambodia","KHM","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9","20.6","20.6","20.6492772839727","20.6","20.649495414341","20.6","31.8","31.8","31.8","31.8","31.8",
"Kiribati","KIR","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8","11.8","11.8","11.8173045605077","11.8","11.8210466833858","11.8","11.8","11.8","11.8","11.8","11.9",
"St. Kitts and Nevis","KNA","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.3","0.3","0.246826850964049","0.3","0.250803474209924","4.5","4.5","4.5","4.5","4.5","4.8",
"Korea, Rep.","KOR","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","2.6","2.6","3.88526952835922","3.9","3.99024573773508","5.5","5.8","5.9","5.9","5.9","5.8",
"Kuwait","KWT","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2","11.2","11.2","10.9982704332786","11","10.9989577458097","10.7","10.7","10.7","10.7","11.4","11.5",
"Latin America & Caribbean (excluding high income)","LAC","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.547477262032","14.6667880699935","14.3066087016363","","16.3842419215614","","20.2591902597842","20.2828274681663","20.3587095445306","21.2677579583583","21.3453072816488","22.0320970457561",
"Lao PDR","LAO","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7","16.7","16.7","16.6822252710073","16.7","16.6822056274146","16.7","18.7","18.7","18.7","19","18.8",
"Lebanon","LBN","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.9","0.9","1.04234132124352","1","1.04272663197996","1","1","0.8","0.8","0.8","2.9",
"Liberia","LBR","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","0.8","0.8","0.773224088935579","1.2","1.21108630778072","1.2","1.2","1.2","1.2","1.2","1.2",
"Libya","LBY","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.3","0.3","0.288612427087619","0.3","0.28857344034883","0.3","0.2","0.2","0.2","0.2","0.2",
"St. Lucia","LCA","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","0.7","0.9","0.93310098500859","0.9","0.931020062296175","0.9","0.9","0.9","0.9","0.9","1",
"Latin America & Caribbean","LCN","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.8300358804358","13.7187650100856","13.4458716097233","","15.98633407096","","21.6566598253943","21.8739197659597","22.0606274870485","22.7873085485187","22.8483577814195","23.3803509858832",
"Least developed countries: UN classification","LDC","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3394665832591","10.0151704690934","10.0695222959938","","10.5998366722653","","10.1966688132436","10.6052706576068","10.6556753075426","10.6689455785897","10.8873753811966","11.0248947233379",
"Low income","LIC","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.76816228277825","9.51467884699942","9.61749749558428","","10.1406338028355","","9.35078120183984","9.87934631812334","9.92400273771925","9.92549756059686","9.92549756059686","10.1493265248095",
"Liechtenstein","LIE","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.2","42.2","42.2","42.4895272292041","11.9","11.9351041815516","42.2","42.6","42.6","42.6","42.6","44.8",
"Sri Lanka","LKA","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.6","3.4","3.37879848480939","3.4","3.37864252327298","3.4","3.4","3.4","3.4","3.4","3.4",
"Lower middle income","LMC","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6677830866245","8.71050943797671","8.17328527674351","","8.40186674900815","","8.46234708868649","8.22781151292823","8.38111792643527","8.38768146478914","8.61771440371888","8.80598288157566",
"Low & middle income","LMY","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.53146721709472","9.92643422136114","9.66984670929758","","10.4035955853312","","11.0983472771991","11.2862576493214","11.4609263812821","11.6815782769355","11.7819674067651","12.0782396436286",
"Lesotho","LSO","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.3","0.3","0.259058862108542","0.3","0.261388681242792","0.3","0.5","0.5","0.5","21.3","23.4",
"Late-demographic dividend","LTE","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.79214537245196","11.8347685604669","11.2889690744416","","11.9458297818255","","14.7809344230282","15.6438286114818","15.6715910840967","15.8656915068641","15.9000300205356","16.3933725806673",
"Lithuania","LTU","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4","16.4","16.9","17.33919590185","17.7","17.7642086947157","17.8","17.8","17.8","17.8","17.8","18.3",
"Luxembourg","LUX","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.3","34.9","32.5","32.2692174714763","40.9","40.8727413785501","51.2","51.2","51.3","55.8","55.8","38.7",
"Latvia","LVA","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8","17.8","17.8","17.5098922163384","17.5","17.5110476673142","17.5","17.5","17.5","17.5","17.5","17.9",
"Macao SAR, China","MAC","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","3.2","3.2","92.3513250022157","92","91.9870071870023","92","92","92","92","92","92.3",
"Morocco","MAR","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","59.7","18.5","18.5463660614773","18.5","18.446888209998","18.4","2.8","1.6","1.6","1.6","1.4",
"Monaco","MCO","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.3","0.3","99.7200839748076","99.4","99.459571201349","99.4","99.4","99.2","99.2","99.2","99.5",
"Moldova","MDA","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","4.2","4.2","4.15147892756405","4.2","4.1505345485515","4.2","4.2","11.4","11.4","11.4","11.5",
"Madagascar","MDG","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","1.9","1.9","1.97284875372353","2.4","2.34594786584438","2.3","3.1","3.1","3.1","3.1","5.1",
"Maldives","MDV","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.0490018209813872","0.1","0.0518873782696889","0.1","0.1","0.1","0.1","0.1","0.1",
"Middle East & North Africa","MEA","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.41697772027811","11.2166413377746","9.1355668647222","","5.56974286912038","","5.60887242837277","4.34050555371124","4.31090398835723","4.32243995849657","5.87850735481123","7.3720706235467",
"Mexico","MEX","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6.3","6.3","6.75214757032193","19.1","19.0562399200344","18.9","18.9","18.9","19","19","19.9",
"Marshall Islands","MHL","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.4","0.3","0.270441582922218","0.3","0.270441119827786","0.3","0.3","0.3","0.3","0.3","0.3",
"Middle income","MIC","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.49567280239495","9.98820645691707","9.67770022660912","","10.4430434501628","","11.3819644933215","11.5145890873779","11.7103578684952","11.9665773571287","12.0832589098501","12.391288161001",
"North Macedonia","MKD","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.7","9.7","9.7","9.65291179140907","9.7","9.65406515792626","10.6","9","12.5","15.4","15.4","28.2",
"Mali","MLI","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.1","8.3","8.3","8.2315834186173","8.2","8.2316100550726","8.2","7.5","7.5","7.5","7.5","7.5",
"Malta","MLT","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.5","0.5","6.36539055401746","6.4","6.40936429280157","7.6","7.6","7.6","7.6","7.6","8",
"Myanmar","MMR","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","4.1","4.1","4.08911261867793","4.2","4.61941895301145","3.8","3.9","3.9","3.9","3.9","4",
