yhat,yhat_lower,yhat_upper,year
0.5385426160499199,0.36521850301713116,0.7082534465028351,1961
0.5840582915409244,0.3995329627815273,0.7541692891674332,1962
0.6295739670319289,0.4497868346109999,0.7912034829643366,1963
0.6750896425076532,0.5071669200724374,0.8535950767776511,1964
0.7207300190869463,0.5579955527971376,0.8937575298157022,1965
0.7662456951837824,0.6027629620859182,0.9405199530364371,1966
0.8118089278688373,0.6267708973037717,0.9772752622554896,1967
0.8573721605538924,0.6809300389460468,1.0269224793643765,1968
0.903178298109258,0.7440506899870862,1.080394626590551,1969
0.9609934559402115,0.7997815900341926,1.1406149945708608,1970
1.018808613771165,0.8483130103377551,1.1919900485249022,1971
1.0766831528782022,0.9067255244163597,1.2617746902569256,1972
1.134716252366354,0.9646800176077237,1.3048121332615188,1973
1.192661069551724,1.0085892705275374,1.368352069320729,1974
1.2506647045568149,1.0805839688734482,1.4233010808628155,1975
1.3086683395619065,1.1494874421037828,1.485053201423936,1976
1.366840176354959,1.2009235462826358,1.5320568627042483,1977
1.4248530737032217,1.2429933142542156,1.5940702018296808,1978
1.4829054192589735,1.306238444787216,1.6544362100277965,1979
1.5409583979959194,1.3748603815740048,1.7200606716058802,1980
1.5991704259896786,1.4418874924580078,1.7723678539592034,1981
1.65733018658199,1.482613866511921,1.8326975004394472,1982
1.7154899471743017,1.540027759792499,1.8870773955226503,1983
1.789952505569191,1.6168606817602367,1.9622523649601389,1984
1.8646190709733814,1.7018613245165164,2.0351217139043527,1985
1.9390895661255565,1.7703564572258825,2.1160995441287977,1986
2.013627543447206,1.8255178141401018,2.183072967025048,1987
2.0881655207688548,1.9025268076859396,2.2561538120495053,1988
2.162945089778805,1.9995815081222732,2.3297787932641323,1989
2.2375203430264325,2.0758862474434547,2.4108658073898117,1990
2.312192865940529,2.1270423563465295,2.4758278112118868,1991
2.38696582539361,2.2108570971249617,2.5623915861982653,1992
2.461943642269851,2.288425668380413,2.6258082057502037,1993
2.536716916663592,2.37612702832218,2.718126679128174,1994
2.6114901910573325,2.4178694923101647,2.7775044221661647,1995
2.6862689565572624,2.5067627728479427,2.8571663183164264,1996
2.7612530913533795,2.5888176937493084,2.938528891821266,1997
2.8360323514642616,2.659037597281279,3.003452657807266,1998
2.9108276489127127,2.7387498710233578,3.09061876129075,1999
2.9856229463611634,2.8192771647675188,3.1552383730128137,2000
3.0607188601229804,2.882457914523907,3.2327559283895293,2001
3.412534986641013,3.2327777755820755,3.601544941837549,2002
3.764351113159047,3.5837282197550757,3.9458570246581592,2003
4.116167241856998,3.9348949889055427,4.298118901593743,2004
4.468947250359602,4.296891355157244,4.636771473969717,2005
4.82076337905755,4.652616513689465,4.984723945218369,2006
5.172579507755505,4.998243785120378,5.345050806236552,2007
5.524395636453454,5.358057939463573,5.697360757974282,2008
5.877175644956058,5.693737270084844,6.046813727481147,2009
6.228991773654012,6.05551941794452,6.4096470466957545,2010
6.58080790235196,6.407535496120743,6.75978433349776,2011
6.932624031049912,6.751887095745446,7.106574161781399,2012
7.285404039552516,7.111974179175326,7.47184853437533,2013
7.637220168250467,7.466903560808653,7.8046809267163395,2014
8.339888545841719,8.169293916982609,8.532004302245838,2015
8.692668554344321,8.510672581090873,8.883408198116085,2016
9.044484683042274,8.85262391297541,9.229837431640062,2017
9.396300811740222,9.183191303674837,9.59569485312942,2018
9.748116940438173,9.52909025561962,9.962042008943554,2019
10.10089694894078,9.880793610744826,10.326991923091358,2020
10.452713077638728,10.192402395520316,10.726200959064704,2021
10.80452920633668,10.528769042505644,11.098308253467263,2022
11.156345335034635,10.834359388393276,11.485179108859437,2023
