yhat,yhat_lower,yhat_upper,year
0.9542601393,0.020863444013173502,1.9542461424416706,1961
1.05991295760358,0.07584597035280195,1.9225567397390588,1962
1.1655657759071598,0.19180779236155576,2.1507449513464487,1963
1.271218594195714,0.3781619781405644,2.3110480878091555,1964
1.3771608724371718,0.40847082875767127,2.3664314415817316,1965
1.482813690902014,0.5626263427042896,2.4116491413712566,1966
1.5884665092797934,0.6620941973155838,2.587665840874111,1967
1.6941193276575723,0.6990896875306851,2.6153267566930802,1968
1.8000616056707588,0.844649782415322,2.8444518099004923,1969
1.9057144237857586,0.968946027462773,2.8483803709596054,1970
2.0113672419007584,1.1002613637486225,3.0281035468671855,1971
2.1170200599375844,1.1611084366881816,3.09238339366446,1972
2.2229623377498537,1.2719535621502223,3.1960953176366274,1973
2.3286151558782398,1.2975028983698333,3.2378268158111703,1974
2.434267974133171,1.5015021734452367,3.3780952073321058,1975
2.5399207923881026,1.56234152787268,3.506933015699535,1976
2.6458630702244017,1.7762341512400672,3.6138347056730162,1977
2.7515158882851933,1.7832000724031625,3.6555891305059043,1978
2.8571687061712048,1.8428048491558224,3.868751031126631,1979
2.962821524086739,2.0335488131768757,3.9058907494960793,1980
3.068763801777384,2.1150058248620707,4.001655282788824,1981
3.174416619599836,2.212203062808201,4.132606556502432,1982
3.280069437422287,2.3058549063680074,4.265733447374666,1983
3.3857222553110486,2.414546410626486,4.338725638013813,1984
3.491664532974847,2.5490346870292155,4.4451852221877655,1985
3.5973173508301253,2.7204780949412375,4.566630005798371,1986
3.702970019238115,2.7888329299026435,4.626326917769321,1987
3.8086226876461056,2.853866505999672,4.833065638912843,1988
3.9145570442286837,2.9419389627416077,4.82371714489765,1989
4.020201962678523,3.0568337771810214,4.942109807118037,1990
4.125795154346744,3.1569882420889033,5.062780709542747,1991
4.231374184223472,3.2531457965181567,5.204696294117085,1992
4.3372424717163005,3.4089816339048924,5.34530276370348,1993
4.442744531697469,3.5103903321906995,5.456046339142643,1994
4.548246591678637,3.6196970303105322,5.483969742887558,1995
4.653708881744808,3.717249652059945,5.642738543249744,1996
4.759454805800959,3.805416198471018,5.674891101578548,1997
4.86491180656734,3.8979915135961614,5.753976704213529,1998
4.970358177567288,4.0402388997271945,5.943364221139609,1999
5.075804548567235,4.1633238483935875,6.0733802179572205,2000
5.181528592400802,4.203212721530529,6.047139586439855,2001
5.286841421445256,4.322244216570983,6.286776148299614,2002
5.392154250489711,4.466972744361567,6.366157741326518,2003
5.49744182130074,4.533464391729359,6.444160715626348,2004
5.60301785120988,4.627667192820953,6.534147749296518,2005
5.708305422020906,4.750944629084196,6.627392170260126,2006
5.813592992831935,4.894936254096878,6.7620155355641955,2007
5.918880563642962,4.984096331307249,6.935427479727525,2008
6.024456593552102,5.023363321099657,7.004968873932768,2009
6.129744164363131,5.081832866507875,7.012597266012598,2010
6.235031735174157,5.268429309574424,7.208678337406537,2011
6.340319305985186,5.342253842642383,7.227265163834615,2012
6.445895335894326,5.472210875962229,7.395909050458486,2013
6.551182906705354,5.620225084314303,7.506939853757152,2014
6.7614695892292955,5.81029791948996,7.698821481918041,2015
6.867045619138437,5.976018067988032,7.885965867405645,2016
6.972333189949465,6.036998856835796,7.876970818587525,2017
7.0776207607604915,6.074611683927834,7.975388658390514,2018
7.182908331571518,6.170356326341091,8.175356636737321,2019
7.28848436148066,6.32787408269383,8.227091109367993,2020
7.393771932291688,6.424555470502396,8.344611387692195,2021
7.499059503102715,6.548998140349594,8.472361377488134,2022
7.604347073913743,6.658217104077995,8.622967034463388,2023
