feature,importance,importance_pct
total_BiocapPerCap,0.03194362348999024,3.194362348999024
total_BiocapPerCap_lag1,0.026172510104505137,2.617251010450514
forest_land_EFImportsPerCap,0.02060714580301584,2.060714580301584
d_population_EFProdPerCap,0.01867766479000487,1.867766479000487
d_total_BiocapTotGHA,0.017778969165878025,1.7778969165878025
d_population_BiocapTotGHA,0.016467571078848473,1.6467571078848473
d_population_EFConsPerCap,0.01529780998604068,1.529780998604068
carbon_EFImportsPerCap,0.015284220884921651,1.528422088492165
forest_land_BiocapTotGHA_lag1,0.01500709713892786,1.5007097138927858
d_population_EFExportsTotGHA,0.01416764331534614,1.4167643315346141
d_population_EFExportsPerCap,0.014117080332617887,1.4117080332617886
d_population_EFImportsTotGHA,0.012193882855105634,1.2193882855105633
population_EFExportsTotGHA_lag1,0.01218977227495537,1.218977227495537
population_EFConsPerCap_lag1,0.012117250021895083,1.2117250021895083
carbon_EFImportsPerCap_lag1,0.011893756439239116,1.1893756439239116
grazing_land_EFProdPerCap,0.011860972490728912,1.1860972490728912
total_EFProdPerCap_lag1,0.011859124741023434,1.1859124741023435
d_total_BiocapPerCap,0.011678041838098969,1.167804183809897
carbon_EFExportsPerCap_lag1,0.011653364162667943,1.1653364162667943
Percapita GDP (2010 USD)_EFProdTotGHA_lag1,0.010936522482222153,1.0936522482222153
population_BiocapTotGHA_lag1,0.010760647741646505,1.0760647741646505
grazing_land_EFProdPerCap_lag1,0.010722004923704448,1.072200492370445
population_BiocapPerCap_lag1,0.010666217317740628,1.0666217317740627
d_grazing_land_EFProdTotGHA,0.010553693312891228,1.0553693312891228
grazing_land_BiocapPerCap,0.0102940872548716,1.02940872548716
d_population_EFImportsPerCap,0.010282700213162705,1.0282700213162705
d_built_up_land_BiocapTotGHA,0.010273779259823892,1.0273779259823892
population_EFExportsTotGHA,0.010256024282202228,1.0256024282202227
forest_land_BiocapPerCap_lag1,0.010099525660129081,1.009952566012908
population_EFExportsPerCap,0.01004704151387987,1.004704151387987
d_population_EFConsTotGHA,0.00999787145811617,0.999787145811617
population_BiocapPerCap,0.009968994869250292,0.9968994869250292
population_EFImportsPerCap_lag1,0.009678861915646179,0.9678861915646179
total_EFConsPerCap_lag1,0.00967366099220251,0.967366099220251
forest_land_BiocapTotGHA,0.009666974582473476,0.9666974582473475
d_carbon_EFProdTotGHA,0.009505475487630172,0.9505475487630172
total_EFImportsPerCap_lag1,0.008955670979960738,0.8955670979960738
forest_land_EFImportsPerCap_lag1,0.008820525151221307,0.8820525151221307
population_EFConsTotGHA_lag1,0.008685658318608902,0.8685658318608902
total_EFExportsPerCap_lag1,0.008487720348605341,0.8487720348605341
built_up_land_EFProdTotGHA,0.00832357242079764,0.8323572420797639
Percapita GDP (2010 USD)_EFProdPerCap_lag1,0.008208841665363793,0.8208841665363793
crop_land_BiocapTotGHA_lag1,0.008200289349780426,0.8200289349780426
total_EFImportsPerCap,0.00799758159519781,0.7997581595197809
population_EFImportsPerCap,0.007967435914734517,0.7967435914734518
population_EFConsPerCap,0.007802672769271625,0.7802672769271625
d_built_up_land_EFConsTotGHA,0.007665853196495484,0.7665853196495485
Percapita GDP (2010 USD)_EFConsTotGHA_lag1,0.007606633868278531,0.7606633868278532
population_EFImportsTotGHA,0.007343448524488185,0.7343448524488185
carbon_EFExportsPerCap,0.007265132493256928,0.7265132493256928
d_population_BiocapPerCap,0.007130218883316834,0.7130218883316835
population_EFImportsTotGHA_lag1,0.007081088446085007,0.7081088446085007
grazing_land_EFProdTotGHA,0.006866735742898831,0.6866735742898831
grazing_land_BiocapPerCap_lag1,0.006855600421197179,0.6855600421197179
total_EFProdPerCap,0.006794110363976853,0.6794110363976853
Percapita GDP (2010 USD)_EFProdPerCap,0.006647665355129743,0.6647665355129743
Percapita GDP (2010 USD)_EFImportsPerCap,0.006591154973809893,0.6591154973809893
fishing_ground_BiocapPerCap,0.006576536050982137,0.6576536050982137
crop_land_EFImportsPerCap_lag1,0.006431977276664624,0.6431977276664623
carbon_EFConsPerCap,0.006418147410688138,0.6418147410688138
forest_land_BiocapPerCap,0.006268861416170893,0.6268861416170892
Percapita GDP (2010 USD)_EFImportsPerCap_lag1,0.006106299155345817,0.6106299155345817
total_BiocapTotGHA_lag1,0.005989280474679218,0.5989280474679218
fishing_ground_EFImportsPerCap_lag1,0.005917447000683902,0.5917447000683902
crop_land_EFImportsPerCap,0.00582900798090248,0.582900798090248
d_forest_land_EFConsTotGHA,0.005753038924995062,0.5753038924995062
grazing_land_EFImportsTotGHA_lag1,0.00570427906943608,0.570427906943608
carbon_EFConsPerCap_lag1,0.005635836678152677,0.5635836678152677
Percapita GDP (2010 USD)_BiocapTotGHA_lag1,0.00558421606979968,0.558421606979968
Percapita GDP (2010 USD)_EFExportsPerCap_lag1,0.005420624219092502,0.5420624219092501
grazing_land_BiocapTotGHA_lag1,0.00539750195394527,0.539750195394527
d_total_EFConsTotGHA,0.005387710722132815,0.5387710722132815
d_built_up_land_EFProdTotGHA,0.0053773326421796466,0.5377332642179646
d_fishing_ground_EFExportsTotGHA,0.0051549888820315495,0.5154988882031549
total_EFConsPerCap,0.004955236573620929,0.4955236573620929
population_EFConsTotGHA,0.0048152572236068725,0.48152572236068725
Percapita GDP (2010 USD)_EFExportsPerCap,0.004577772672900577,0.45777726729005774
fishing_ground_BiocapPerCap_lag1,0.0045532700541696435,0.45532700541696436
d_carbon_EFProdPerCap,0.004508938438670719,0.45089384386707193
population_EFProdTotGHA,0.004490964700142647,0.4490964700142647
