iso3,target,model,MAE
HTI,forest_land_EFProdPerCap,prophet,0.00016225815915495156
HUN,co2_pc,prophet,0.266780454723946
HUN,forest_land_EFProdPerCap,prophet,0.0
IDN,co2_pc,prophet,0.09085514235852143
IDN,forest_land_EFProdPerCap,prophet,0.01705892191496248
IND,co2_pc,prophet,0.02285164447466559
IND,forest_land_EFProdPerCap,prophet,0.0011315631338890992
IRL,co2_pc,prophet,1.2783312336278143
IRL,forest_land_EFProdPerCap,prophet,0.07386264326182725
IRN,co2_pc,prophet,0.3210623314697555
IRN,forest_land_EFProdPerCap,prophet,0.0
IRQ,co2_pc,prophet,0.3367696921297484
IRQ,forest_land_EFProdPerCap,prophet,0.0
ISR,co2_pc,prophet,0.6985218025128235
ISR,forest_land_EFProdPerCap,prophet,0.0042037388362566605
ITA,co2_pc,prophet,0.8753619022493085
ITA,forest_land_EFProdPerCap,prophet,0.009772071581911939
JAM,co2_pc,prophet,0.674804186300894
JAM,forest_land_EFProdPerCap,prophet,0.0
JOR,co2_pc,prophet,0.234569759333976
JOR,forest_land_EFProdPerCap,prophet,0.0008509610021637797
JPN,co2_pc,prophet,0.4717542445050585
JPN,forest_land_EFProdPerCap,prophet,0.007988463471343295
KAZ,co2_pc,prophet,0.5987597986111529
KAZ,forest_land_EFProdPerCap,prophet,0.005038464284067204
KEN,co2_pc,prophet,0.026862329928616813
KEN,forest_land_EFProdPerCap,prophet,0.012930797268843466
KGZ,co2_pc,prophet,0.2189410232367861
KGZ,forest_land_EFProdPerCap,prophet,0.0
KHM,co2_pc,prophet,0.07586525365727728
KOR,co2_pc,prophet,0.33087880565999567
KOR,forest_land_EFProdPerCap,prophet,0.007046211993064384
KWT,co2_pc,prophet,2.920911800811289
KWT,forest_land_EFProdPerCap,prophet,2.498321227411898e-06
LAO,co2_pc,prophet,0.13004943193876534
LAO,forest_land_EFProdPerCap,prophet,0.08061911250101385
LBN,co2_pc,prophet,0.2894411715874926
LBN,forest_land_EFProdPerCap,prophet,0.0020935275755042245
LBR,co2_pc,prophet,0.044557689060451
LBR,forest_land_EFProdPerCap,prophet,0.07767357576506889
LBY,co2_pc,prophet,0.9649555284399771
LBY,forest_land_EFProdPerCap,prophet,0.0007809439049825964
LCA,co2_pc,prophet,0.076690247425707
LCA,forest_land_EFProdPerCap,prophet,0.0001875194052271826
LKA,co2_pc,prophet,0.03269042869576626
LKA,forest_land_EFProdPerCap,prophet,0.011836999578465792
LSO,co2_pc,prophet,0.10236975372131758
LSO,forest_land_EFProdPerCap,prophet,0.012353418859520604
LTU,co2_pc,prophet,0.24298983087673126
LTU,forest_land_EFProdPerCap,prophet,0.07324158908175463
LUX,co2_pc,prophet,1.9948889643249021
LUX,forest_land_EFProdPerCap,prophet,0.0448616847701719
LVA,co2_pc,prophet,0.21676160542826445
LVA,forest_land_EFProdPerCap,prophet,0.41700231131666643
MAR,co2_pc,prophet,0.052731445525862376
MAR,forest_land_EFProdPerCap,prophet,0.0
MDA,co2_pc,prophet,0.3128854678175759
MDA,forest_land_EFProdPerCap,prophet,0.027519634451024583
MDG,co2_pc,prophet,0.01724783357946083
MDG,forest_land_EFProdPerCap,prophet,0.0169113239200235
MEX,co2_pc,prophet,0.1533928273783066
MEX,forest_land_EFProdPerCap,prophet,0.00233098582844935
MKD,co2_pc,prophet,0.18684832274629418
MKD,forest_land_EFProdPerCap,prophet,0.01730603745349921
MLI,co2_pc,prophet,0.006183536394414595
MLI,forest_land_EFProdPerCap,prophet,0.00331262294182027
MLT,co2_pc,prophet,0.5342812166917577
MLT,forest_land_EFProdPerCap,prophet,0.0
MMR,co2_pc,prophet,0.03507619580727959
MMR,forest_land_EFProdPerCap,prophet,0.011780706478391962
MNG,co2_pc,prophet,2.968019977128443
MNG,forest_land_EFProdPerCap,prophet,0.0
MOZ,co2_pc,prophet,0.06719798651514187
MOZ,forest_land_EFProdPerCap,prophet,0.0048042397662488075
MRT,co2_pc,prophet,0.0600479915087677
MRT,forest_land_EFProdPerCap,prophet,0.0
MUS,co2_pc,prophet,0.10301203645664762
MWI,co2_pc,prophet,0.0031990807419550586
MWI,forest_land_EFProdPerCap,prophet,0.005169609387930621
MYS,co2_pc,prophet,0.21467086891243792
MYS,forest_land_EFProdPerCap,prophet,0.27050282175621343
NAM,co2_pc,prophet,0.08032297204511826
NAM,forest_land_EFProdPerCap,prophet,0.0
NER,co2_pc,prophet,0.02540084079280756
NER,forest_land_EFProdPerCap,prophet,0.0025728326026554587
NGA,co2_pc,prophet,0.12178322420710372
NGA,forest_land_EFProdPerCap,prophet,0.0033963974645200403
NIC,co2_pc,prophet,0.03480906474068166
NIC,forest_land_EFProdPerCap,prophet,0.00880298059212098
NLD,co2_pc,prophet,0.42843243050298857
NLD,forest_land_EFProdPerCap,prophet,0.0030223168488262174
NOR,co2_pc,prophet,0.3299001958294731
NOR,forest_land_EFProdPerCap,prophet,0.0651380435403126
NPL,co2_pc,prophet,0.035997622535953844
NPL,forest_land_EFProdPerCap,prophet,0.001122257509375929
NZL,co2_pc,prophet,0.5804425421235923
NZL,forest_land_EFProdPerCap,prophet,0.35328384853628986
OMN,co2_pc,prophet,1.5474144838635886
OMN,forest_land_EFProdPerCap,prophet,0.000577175993723463
PAK,co2_pc,prophet,0.06105133790774928
PAK,forest_land_EFProdPerCap,prophet,0.003766424277076977
PAN,co2_pc,prophet,0.321904759317344
PAN,forest_land_EFProdPerCap,prophet,0.003445533323658928
PER,co2_pc,prophet,0.19804464026011798
PER,forest_land_EFProdPerCap,prophet,0.005999524111030305
PHL,co2_pc,prophet,0.05253363297674938
PHL,forest_land_EFProdPerCap,prophet,0.019243618329375285
PNG,co2_pc,prophet,0.10929924992664515
PNG,forest_land_EFProdPerCap,prophet,0.0
POL,co2_pc,prophet,0.30602282636562705
POL,forest_land_EFProdPerCap,prophet,0.013225710325829244
PRK,co2_pc,prophet,0.9895102627717037
PRK,forest_land_EFProdPerCap,prophet,0.004175463425439752
PRT,co2_pc,prophet,1.0279304439254495
PRT,forest_land_EFProdPerCap,prophet,0.03044132821608343
PRY,co2_pc,prophet,0.05245821316487322
PRY,forest_land_EFProdPerCap,prophet,0.021030532947615997
PYF,co2_pc,prophet,0.10347061682719572
PYF,forest_land_EFProdPerCap,prophet,0.0
QAT,co2_pc,prophet,10.142683046067521
QAT,forest_land_EFProdPerCap,prophet,0.0006402808139635143
ROU,co2_pc,prophet,0.8934392654648586
ROU,forest_land_EFProdPerCap,prophet,0.06331952748347615
RUS,co2_pc,prophet,0.28439757526970466
RUS,forest_land_EFProdPerCap,prophet,0.059092631561289334
RWA,co2_pc,prophet,0.01607036179143408
RWA,forest_land_EFProdPerCap,prophet,0.02735198006950562
SEN,co2_pc,prophet,0.06940277246285849
SEN,forest_land_EFProdPerCap,prophet,0.0
SGP,co2_pc,prophet,1.143946794951255
SGP,forest_land_EFProdPerCap,prophet,0.0002809023152772354
SLE,co2_pc,prophet,0.028771010031255085
SLE,forest_land_EFProdPerCap,prophet,0.011674962462353555
SLV,co2_pc,prophet,0.07183297577110799
SLV,forest_land_EFProdPerCap,prophet,0.008647273196264588
SOM,co2_pc,prophet,0.022498022062135463
SOM,forest_land_EFProdPerCap,prophet,0.016747926831038873
STP,co2_pc,prophet,0.02565258479370442
SUR,co2_pc,prophet,0.5501959743216858
SUR,forest_land_EFProdPerCap,prophet,0.06554563679675243
SVK,co2_pc,prophet,0.14121311039428042
SVK,forest_land_EFProdPerCap,prophet,0.10958531428007727
SVN,co2_pc,prophet,0.32596036521895044
SVN,forest_land_EFProdPerCap,prophet,0.10709050504959236
SWE,co2_pc,prophet,0.26827674887994846
SWE,forest_land_EFProdPerCap,prophet,0.48137485907387656
SWZ,co2_pc,prophet,0.09603554720173066
SWZ,forest_land_EFProdPerCap,prophet,0.0
SYR,co2_pc,prophet,0.7006840899332859
SYR,forest_land_EFProdPerCap,prophet,0.0007570396218970561
TCD,co2_pc,prophet,0.014417813618160618
TCD,forest_land_EFProdPerCap,prophet,0.0012056226244431755
TGO,co2_pc,prophet,0.06079542659875451
TGO,forest_land_EFProdPerCap,prophet,0.020447532019928605
THA,co2_pc,prophet,0.08818679082832732
THA,forest_land_EFProdPerCap,prophet,0.018783681309104298
TJK,co2_pc,prophet,0.06259722317353444
TJK,forest_land_EFProdPerCap,prophet,0.0
TKM,co2_pc,prophet,0.5117535053201505
TKM,forest_land_EFProdPerCap,prophet,0.0
TLS,co2_pc,prophet,0.09021608314781517
TLS,forest_land_EFProdPerCap,prophet,0.0
TON,co2_pc,prophet,0.11037092492307751
TTO,co2_pc,prophet,4.232241973044879
TTO,forest_land_EFProdPerCap,prophet,0.0
TUN,co2_pc,prophet,0.05602785917694928
TUN,forest_land_EFProdPerCap,prophet,0.018070753191360218
TUR,co2_pc,prophet,0.13053072582802763
TUR,forest_land_EFProdPerCap,prophet,0.01608501175668995
TZA,co2_pc,prophet,0.042676422881457884
TZA,forest_land_EFProdPerCap,prophet,0.0027938132075197354
UGA,co2_pc,prophet,0.02753368918093061
UGA,forest_land_EFProdPerCap,prophet,0.005359332045395171
UKR,co2_pc,prophet,0.44105698073816607
UKR,forest_land_EFProdPerCap,prophet,0.0
URY,co2_pc,prophet,0.34248344458945995
URY,forest_land_EFProdPerCap,prophet,0.0
USA,co2_pc,prophet,0.9770073520188027
USA,forest_land_EFProdPerCap,prophet,0.05843299759355507
UZB,co2_pc,prophet,0.18328591224753082
UZB,forest_land_EFProdPerCap,prophet,7.864320923787843e-05
VEN,co2_pc,prophet,0.2968297077878848
VEN,forest_land_EFProdPerCap,prophet,0.009628593575392044
VNM,co2_pc,prophet,0.06509579780563332
VNM,forest_land_EFProdPerCap,prophet,0.004749838164932074
WSM,co2_pc,prophet,0.033241844694578956
YEM,co2_pc,prophet,0.1143620892303147
YEM,forest_land_EFProdPerCap,prophet,1.7898436880575858e-05
ZAF,co2_pc,prophet,0.371651319002947
ZAF,forest_land_EFProdPerCap,prophet,0.0
ZMB,co2_pc,prophet,0.04520372123499983
ZMB,forest_land_EFProdPerCap,prophet,0.008737275409150091
ZWE,co2_pc,prophet,0.14866522067925922
ZWE,forest_land_EFProdPerCap,prophet,0.007684544216878581
ABW,co2_pc,ARIMA,15.624184862416332
ABW,co2_pc,RF-lag,2.2556917032999952
AFG,co2_pc,ARIMA,0.0932623116
AFG,co2_pc,RF-lag,0.048003852368000165
AGO,co2_pc,ARIMA,0.063456129
AGO,co2_pc,RF-lag,0.07967840264999936
ALB,co2_pc,ARIMA,0.4758816312250084
ALB,co2_pc,RF-lag,0.2014159561999998
ARE,co2_pc,ARIMA,1.394513679543693
ARE,co2_pc,RF-lag,3.2516089380000124
ARG,co2_pc,ARIMA,0.11575654468596701
ARG,co2_pc,RF-lag,0.5869670640000023
ARM,co2_pc,ARIMA,0.27152764943565144
ARM,co2_pc,RF-lag,0.7948325255500001
ATG,co2_pc,ARIMA,0.11255805221530694
ATG,co2_pc,RF-lag,0.8192210199999984
AUS,co2_pc,ARIMA,7.111835941745949
AUS,co2_pc,RF-lag,0.3944618830000003
AUT,co2_pc,ARIMA,0.9672658847849649
AUT,co2_pc,RF-lag,0.4141857806000003
AZE,co2_pc,ARIMA,0.24007544223526706
BDI,co2_pc,ARIMA,0.007925848065687588
BDI,co2_pc,RF-lag,0.004522942557000001
BEL,co2_pc,ARIMA,1.912546603217357
BEL,co2_pc,RF-lag,0.9228152810000037
BEN,co2_pc,ARIMA,0.03044653762161429
BEN,co2_pc,RF-lag,0.11318656527999985
BFA,co2_pc,ARIMA,0.03447184004799263
BFA,co2_pc,RF-lag,0.050676796084999996
BGD,co2_pc,ARIMA,2.170733037219537
BGD,co2_pc,RF-lag,0.09405723559999972
BGR,co2_pc,ARIMA,0.42668606646649987
BGR,co2_pc,RF-lag,0.619036681600003
BHR,co2_pc,ARIMA,0.9940317444269244
BHR,co2_pc,RF-lag,1.7050280559999966
BHS,co2_pc,ARIMA,0.21554658832548856
BHS,co2_pc,RF-lag,0.5185372566000022
BIH,co2_pc,ARIMA,0.6484826
BIH,co2_pc,RF-lag,1.8116569379999974
BLR,co2_pc,ARIMA,0.15759088000000004
BLR,co2_pc,RF-lag,0.5181814993000029
BMU,co2_pc,ARIMA,1.4390631099999998
BMU,co2_pc,RF-lag,1.6709026035999976
BOL,co2_pc,ARIMA,0.3699218259481641
BOL,co2_pc,RF-lag,0.2398471346500007
BRA,co2_pc,ARIMA,1.3592012308615478
BRA,co2_pc,RF-lag,0.3367551369999987
BRB,co2_pc,ARIMA,0.8058252559226471
BRB,co2_pc,RF-lag,0.5306618427999916
BRN,co2_pc,ARIMA,2.0978816068649313
BRN,co2_pc,RF-lag,2.769794810999996
BTN,co2_pc,ARIMA,2.7910450110722786
BTN,co2_pc,RF-lag,0.5259448361000004
BWA,co2_pc,ARIMA,0.781440176187054
BWA,co2_pc,RF-lag,0.2544966812999994
CAF,co2_pc,ARIMA,0.013227976685352857
CAF,co2_pc,RF-lag,0.008149395465999984
CAN,co2_pc,ARIMA,1.7813245174230985
CAN,co2_pc,RF-lag,0.5471061320000004
CHE,co2_pc,ARIMA,0.776597257934042
CHE,co2_pc,RF-lag,0.43489749439999964
CHL,co2_pc,ARIMA,0.24187313870296562
CHL,co2_pc,RF-lag,0.4250976874999993
CHN,co2_pc,ARIMA,1.107101456228222
CHN,co2_pc,RF-lag,2.241324847999995
CIV,co2_pc,ARIMA,0.05924723200100923
CIV,co2_pc,RF-lag,0.041293969250000125
CMR,co2_pc,ARIMA,0.034518121519646054
CMR,co2_pc,RF-lag,0.03565653740999987
COD,co2_pc,ARIMA,0.015458379305536219
COD,co2_pc,RF-lag,0.008035320272999967
COG,co2_pc,ARIMA,0.06636050999999996
COG,co2_pc,RF-lag,0.17460529026000007
COL,co2_pc,ARIMA,0.37129818453323976
COL,co2_pc,RF-lag,0.0990949835000003
COM,co2_pc,ARIMA,0.026004800434953557
COM,co2_pc,RF-lag,0.027561753049999953
CPV,co2_pc,ARIMA,0.08339819031798813
CPV,co2_pc,RF-lag,0.1551367808999995
CRI,co2_pc,ARIMA,0.06501334212241487
CRI,co2_pc,RF-lag,0.07355329000000019
CUB,co2_pc,ARIMA,0.1446001601708745
CUB,co2_pc,RF-lag,0.21035201060000022
CYP,co2_pc,ARIMA,1.2072923442294385
CYP,co2_pc,RF-lag,0.4217493237000065
CZE,co2_pc,ARIMA,1.3448716165637777
CZE,co2_pc,RF-lag,1.1756205259999941
DEU,co2_pc,ARIMA,0.44327098786033386
DEU,co2_pc,RF-lag,0.5336376640000088
DJI,co2_pc,ARIMA,0.08434394329170455
DJI,co2_pc,RF-lag,0.07902561437000018
DMA,co2_pc,ARIMA,0.1462644134687706
DMA,co2_pc,RF-lag,0.44293228600000345
DNK,co2_pc,ARIMA,1.9077179001740052
DNK,co2_pc,RF-lag,1.3310211344000031
DOM,co2_pc,ARIMA,0.04216331331447391
DOM,co2_pc,RF-lag,0.06536559200000021
DZA,co2_pc,ARIMA,0.42295790782082576
DZA,co2_pc,RF-lag,0.24446912330000195
ECU,co2_pc,ARIMA,0.30442520923612015
ECU,co2_pc,RF-lag,0.40729630460000044
EGY,co2_pc,ARIMA,0.07590950346184684
EGY,co2_pc,RF-lag,0.4679033556000013
ERI,co2_pc,ARIMA,0.02066842718317059
ERI,co2_pc,RF-lag,0.11960715674000025
ESP,co2_pc,ARIMA,1.7879592011211873
ESP,co2_pc,RF-lag,0.4430486067000001
EST,co2_pc,ARIMA,1.0247378956318038
EST,co2_pc,RF-lag,1.5645738799999955
ETH,co2_pc,ARIMA,1.2924066013410325
ETH,co2_pc,RF-lag,0.014207494514000062
FIN,co2_pc,ARIMA,2.037103176273579
FIN,co2_pc,RF-lag,1.5319018769999981
FJI,co2_pc,ARIMA,0.16259415026928356
FJI,co2_pc,RF-lag,0.1419398935399997
FRA,co2_pc,ARIMA,1.7111231577223527
FRA,co2_pc,RF-lag,0.8289754769999957
FSM,co2_pc,ARIMA,0.14173499510180687
GAB,co2_pc,ARIMA,0.21949145551443067
GAB,co2_pc,RF-lag,0.4803992123999995
GBR,co2_pc,ARIMA,1.4188416910148356
GBR,co2_pc,RF-lag,1.5628076390000003
GHA,co2_pc,ARIMA,0.0838913228440646
GHA,co2_pc,RF-lag,0.09320937762000019
GIN,co2_pc,ARIMA,0.017816672484781682
GIN,co2_pc,RF-lag,0.020300193340000158
GMB,co2_pc,ARIMA,0.022520430061180204
GMB,co2_pc,RF-lag,0.014805940060000045
GNB,co2_pc,ARIMA,0.003857343874547553
GNB,co2_pc,RF-lag,0.006091880399999994
GNQ,co2_pc,ARIMA,0.4529494677708569
GNQ,co2_pc,RF-lag,1.6717286869999968
GRC,co2_pc,ARIMA,5.6660117672129875
GRC,co2_pc,RF-lag,0.532542061499997
GRD,co2_pc,ARIMA,0.13206659590979966
GTM,co2_pc,ARIMA,0.07318458051418456
GTM,co2_pc,RF-lag,0.04720224436000013
GUY,co2_pc,ARIMA,0.1949414149698853
GUY,co2_pc,RF-lag,0.26280543010000057
HND,co2_pc,ARIMA,0.0378310688287398
HND,co2_pc,RF-lag,0.06461236429999952
HRV,co2_pc,ARIMA,1.533642460101949
HRV,co2_pc,RF-lag,0.3183031071999971
HTI,co2_pc,ARIMA,0.048292749424496795
HTI,co2_pc,RF-lag,0.028249685050000167
HUN,co2_pc,ARIMA,1.5546018868666573
HUN,co2_pc,RF-lag,0.48411116089999917
IDN,co2_pc,ARIMA,0.20273875344655204
IDN,co2_pc,RF-lag,0.2667770379999999
IND,co2_pc,ARIMA,76.3833344141468
IND,co2_pc,RF-lag,0.34559002800000116
IRL,co2_pc,ARIMA,2.667512636881045
IRL,co2_pc,RF-lag,0.5765100333999957
IRN,co2_pc,ARIMA,1.9507042836194508
IRN,co2_pc,RF-lag,1.0107613109999931
IRQ,co2_pc,ARIMA,0.3587939948627108
IRQ,co2_pc,RF-lag,0.36647532159999996
ISR,co2_pc,ARIMA,1.341618940278907
ISR,co2_pc,RF-lag,0.4530025660000012
ITA,co2_pc,ARIMA,7.221581595914
ITA,co2_pc,RF-lag,0.4856642202000022
JAM,co2_pc,ARIMA,0.5572339654824555
JAM,co2_pc,RF-lag,0.2575999324000008
JOR,co2_pc,ARIMA,0.15480774962496366
JOR,co2_pc,RF-lag,0.16016680099999916
JPN,co2_pc,ARIMA,0.3647463356862314
JPN,co2_pc,RF-lag,0.2774524020000019
KAZ,co2_pc,ARIMA,2.934545384238087
KAZ,co2_pc,RF-lag,2.7042913319999964
KEN,co2_pc,ARIMA,0.03417277271572049
KEN,co2_pc,RF-lag,0.02464097404999997
KGZ,co2_pc,ARIMA,0.4105369500338266
KGZ,co2_pc,RF-lag,0.3295959879399991
KHM,co2_pc,ARIMA,0.1373424370780516
KHM,co2_pc,RF-lag,0.15018802515000007
KOR,co2_pc,ARIMA,119.9593717675818
KOR,co2_pc,RF-lag,1.4851918100000003
KWT,co2_pc,ARIMA,8.511703874891559
LAO,co2_pc,ARIMA,0.2160982606827829
LAO,co2_pc,RF-lag,0.2352531685999999
LBN,co2_pc,ARIMA,0.3441324023504507
LBN,co2_pc,RF-lag,0.3395277920000014
LBR,co2_pc,ARIMA,0.029367971762682223
LBR,co2_pc,RF-lag,0.027202867789999908
LBY,co2_pc,ARIMA,1.2477955703502974
LBY,co2_pc,RF-lag,0.7668575967000014
LCA,co2_pc,ARIMA,0.1773042349407811
LCA,co2_pc,RF-lag,0.267012610399998
LKA,co2_pc,ARIMA,0.1433661201772753
LKA,co2_pc,RF-lag,0.09219488970000062
LSO,co2_pc,ARIMA,0.15262216016148075
LSO,co2_pc,RF-lag,0.1906600718999995
LTU,co2_pc,ARIMA,0.19520108437656028
LTU,co2_pc,RF-lag,0.41547199540000346
LUX,co2_pc,ARIMA,4.6998572326756625
LUX,co2_pc,RF-lag,1.197875046000006
LVA,co2_pc,ARIMA,0.456312174673175
LVA,co2_pc,RF-lag,0.23517529759999892
MAR,co2_pc,ARIMA,29.573991222119066
MAR,co2_pc,RF-lag,0.3565380459999987
MDA,co2_pc,ARIMA,0.3361879293015585
MDA,co2_pc,RF-lag,0.32506396369999885
MDG,co2_pc,ARIMA,0.021772399338637793
MDG,co2_pc,RF-lag,0.015122580206000042
MEX,co2_pc,ARIMA,0.3712591901786113
MEX,co2_pc,RF-lag,0.2034260619999994
MKD,co2_pc,ARIMA,0.46873138257869584
MKD,co2_pc,RF-lag,0.2902605175999978
MLI,co2_pc,ARIMA,0.3192006620341937
