cluster_lvl2,year,yhat
0.0,1961,1.686205282692
0.0,1962,1.69441174974085
0.0,1963,1.7026182167897002
0.0,1964,1.7108246838108165
0.0,1965,1.719053634330617
0.0,1966,1.754582900009458
0.0,1967,1.8126096994473275
0.0,1968,1.870636498885197
0.0,1969,1.9288222758098295
0.0,1970,1.9868490752305754
0.0,1971,2.0448758746513214
0.0,1972,2.102902674097844
0.0,1973,2.1610884510770973
0.0,1974,2.2191152504994656
0.0,1975,2.277142049985039
0.0,1976,2.3351688494706124
0.0,1977,2.3933546264675774
0.0,1978,2.451381425931764
0.0,1979,2.509408225395992
0.0,1980,2.5674350249029962
0.0,1981,2.6256208019428966
0.0,1982,2.683647601461251
0.0,1983,2.7416744009796066
0.0,1984,2.7680399527392296
0.0,1985,2.789169038904162
0.0,1986,2.8102403953077753
0.0,1987,2.8313117517428785
0.0,1988,2.8523831081779827
0.0,1989,2.873512194348698
0.0,1990,2.894583550775777
0.0,1991,2.9156549072346447
0.0,1992,2.9367262637369094
0.0,1993,2.9578553499830162
0.0,1994,2.9789267065380995
0.0,1995,2.9999980630931837
0.0,1996,3.0210694196286445
0.0,1997,3.042198505904491
0.0,1998,3.0632698624364147
0.0,1999,3.0843427438638393
0.0,2000,3.2696927905769995
0.0,2001,3.3778971296407465
0.0,2002,3.4858058285116065
0.0,2003,3.5937145273034807
0.0,2004,3.701623226223309
0.0,2005,3.809827565573134
0.0,2006,3.9177362646050953
0.0,2007,4.025644963688108
0.0,2008,4.1335536692646695
0.0,2009,4.240617207969988
0.0,2010,4.268327635644067
0.0,2011,4.2960380633181465
0.0,2012,4.323748490992225
0.0,2013,4.351534837646233
0.0,2014,4.379245265320312
0.0,2015,4.43459020168854
0.0,2016,4.462376548342547
0.0,2017,4.490086976016626
0.0,2018,4.517797403690706
0.0,2019,4.545507831364784
0.0,2020,4.5732941780187915
0.0,2021,4.601004605692871
0.0,2022,4.62871503336695
0.0,2023,3.6114534504288764
1.0,1961,8.731931771055
1.0,1962,8.777950723533273
1.0,1963,8.823969676011544
1.0,1964,8.869988628421638
1.0,1965,8.916133660239813
1.0,1966,8.962152612736078
1.0,1967,8.735858385217679
1.0,1968,8.926273310693007
1.0,1969,9.1383271399394
1.0,1970,9.049221812057532
1.0,1971,8.960116484175668
1.0,1972,8.870923629088535
1.0,1973,9.485930213359486
